"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-01","0.10","78","45","63"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-02","0.00","89","54","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-03","0.00","90","68","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-04","0.00","90","50","65"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-05","0.00","79","44","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-06","0.00","85","48","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-07","0.00","87","54","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-08","0.00","86","65","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-09","0.00","77","67","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-10","0.09","77","70","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-11","0.06","83","69","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-12","0.00","86","67","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-13","0.00","87","53","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-14","0.00","89","58","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-15","0.00","91","67","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-16","0.00","90","71","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-17","0.10","80","67","67"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-18","0.00","87","67","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-19","0.00","91","76","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-20","0.00","90","74","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-21","0.00","80","71","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-22","0.44","76","63","66"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-23","0.00","76","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-24","0.01","84","49","65"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-25","0.00","86","56","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-26","0.00","86","56","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-27","0.02","93","69","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-28","0.00","91","77","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-29","0.09","97","71","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-30","0.65","92","70","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-05-31","0.40","82","64","69"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-01","0.00","88","64","69"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-02","0.00","88","69","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-03","0.04","88","74","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-04","0.00","88","66","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-05","0.03","89","67","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-06","0.15","92","68","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-07","0.00","92","63","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-08","0.00","94","64","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-09",,,,
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-10",,"90","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-11","0.00","90","72","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-06-12","0.00","90","70","75"
